GEO_ID,NAME,Total_Pop,TP_1Race,TP_1Race_White,TP_1Race_Black,TP_1Race_Aindian_AKNative,TP_1Race_Asian,TP_1Race_Nhawaiian_API,TP_1Race_Other,TP_2ormoreRaces,TP_2Races,TP_3Races,TP_4Races,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P1_063N,P1_064N,P1_065N
1600000US0673430,"South Whittier CDP, California",56415,42864,14781,841,1425,2797,131,22889,13551,12960,540,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, !!Total:!!Population of two or more races:!!Population of five races:, !!Total:!!Population of two or more races:!!Population of five races:!!White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander, !!Total:!!Population of two or more races:!!Population of five races:!!White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4
