OBJECTID_12,Join_Count,TARGET_FID,CT20,LABEL,NAME,SUP_NAME,DIST_SUP,CITYNAME_ALF,NAME_1,JURISDICTION,AREA_NUM,AREA_NAME,Shape__Area,Shape__Length
1,1,1,101110,1011.1,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,1676518.629,5565.411341
2,1,2,101122,1011.22,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,3881000.543,11695.30428
3,1,3,101220,1012.2,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,1025452.086,4688.607147
4,1,4,101221,1012.21,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,519705.7031,3378.824327
5,1,5,101222,1012.22,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,435061.8672,3685.233312
6,1,6,101300,1013,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,3786000.676,10858.70612
7,1,7,101400,1014,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,9256640.508,15739.59422
8,1,8,102103,1021.03,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,1739800.41,6028.751355
9,1,9,102104,1021.04,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,2431516.102,10170.01702
10,1,10,102105,1021.05,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,722302.5078,3676.706346
11,1,11,102107,1021.07,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,18955558.68,23492.95085
12,1,12,103101,1031.01,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,2979791.75,9383.135797
13,1,13,103102,1031.02,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,1821420.578,6100.162912
14,1,14,103201,1032.01,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,2869150.496,6731.000829
15,1,15,103202,1032.02,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,6956318.82,16867.4248
16,1,16,103300,1033,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,9013128.063,13780.55498
17,1,17,103401,1034.01,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,2056696.621,7552.814965
18,1,18,103402,1034.02,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,1612863.566,5406.011633
19,2,19,104103,1041.03,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,1393597.656,4886.684425
22,1,22,104124,1041.24,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,,KAGEL / LOPEZ CANYONS,UNINCORPORATED AREA,3,San Fernando Valley Planning Area,6579433.18,14622.37595
25,2,25,104204,1042.04,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,KAGEL / LOPEZ CANYONS,INCORPORATED/UNINCORPORATED,3,San Fernando Valley Planning Area,3912763.352,11156.47801
170,2,170,121101,1211.01,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,692475.2266,3959.895773
171,2,171,121102,1211.02,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,11060635.61,13896.87446
183,2,183,122200,1222,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,2499281.934,7169.479028
188,2,188,123103,1231.03,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,1322074.66,4952.621064
189,1,189,123104,1231.04,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,1145105.148,4255.285609
206,2,206,123902,1239.02,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,973134.5117,4315.586571
207,2,207,124000,1240,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,1976781.707,6155.175319
208,1,208,124102,1241.02,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,950873.793,3900.293006
210,2,210,124104,1241.04,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,475299.6992,2922.311
211,2,211,124105,1241.05,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,475401.293,2922.890044
212,2,212,124201,1242.01,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,1424823.563,4875.676208
213,1,213,124203,1242.03,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,474939.3008,2922.052575
214,1,214,124204,1242.04,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,475041.3906,2921.24449
215,1,215,124300,1243,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,1305005.527,4631.869535
220,1,220,124902,1249.02,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,495846.0508,2971.834051
221,1,221,124903,1249.03,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,455999.7109,2879.179805
222,1,222,125101,1251.01,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,951544.5742,3901.632826
223,1,223,125102,1251.02,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,950081.5781,3898.817439
224,1,224,125200,1252,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,1909052.211,5854.576793
225,1,225,125310,1253.1,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,1543501.313,7093.430076
226,1,226,125321,1253.21,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,379656.4414,2537.258977
227,1,227,125322,1253.22,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,546508.8945,3266.260967
228,1,228,125402,1254.02,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,1073073.66,4162.27423
229,1,229,125403,1254.03,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,246472.8711,2226.223425
230,1,230,125404,1254.04,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,335961.1563,3170.156331
231,1,231,125501,1255.01,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,679524.1914,3402.308975
232,1,232,125502,1255.02,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,765542.8672,3548.85613
233,1,233,125600,1256,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,1496675.863,5446.735177
375,1,375,143101,1431.01,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,2003605.922,6814.204542
376,1,376,143102,1431.02,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,572635.5742,3200.089872
377,1,377,143200,1432,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,1400949.477,5182.119255
378,1,378,143301,1433.01,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,849609.5703,4833.265224
379,1,379,143302,1433.02,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,1517445.793,5909.389538
381,2,381,143402,1434.02,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,948879.0078,3902.680459
383,2,383,143602,1436.02,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,1785567.688,6144.475825
384,1,384,143603,1436.03,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,769059.8008,4970.540049
385,1,385,143605,1436.05,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,481949.8477,3038.786065
386,1,386,143606,1436.06,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,356137.7344,4541.313614
387,2,387,143700,1437,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,4809839.098,13772.8836
388,2,388,143801,1438.01,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,2094595.246,7897.914561
389,2,389,143802,1438.02,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,1704254.766,11615.89183
435,2,435,188201,1882.01,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,9,Metro Planning Area,1135186.055,6276.725075
436,1,436,188202,1882.02,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,9,Metro Planning Area,1111189.105,4344.904834
438,2,438,189101,1891.01,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,9,Metro Planning Area,577917.2383,3043.452679
439,2,439,189102,1891.02,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,9,Metro Planning Area,918777.293,4485.215492
440,2,440,189201,1892.01,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,9,Metro Planning Area,476233.9688,2928.197206
441,2,441,189202,1892.02,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,9,Metro Planning Area,1513055.324,6406.234921
442,3,442,189300,1893,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,9,Metro Planning Area,2778587.363,9511.71291
443,1,443,189400,1894,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,9,Metro Planning Area,2116331.09,10780.11483
444,2,444,189501,1895.01,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,9,Metro Planning Area,501518.7813,3429.471496
445,2,445,189502,1895.02,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,9,Metro Planning Area,364552.6133,2691.124504
446,2,446,189600,1896,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,5,Metro Planning Area,1565749.531,7442.855927
447,2,447,189702,1897.02,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,Westside Planning Area,2133158.078,8527.753578
448,1,448,189703,1897.03,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,Metro Planning Area,4950929.227,15991.79354
449,1,449,189704,1897.04,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,Metro Planning Area,1424396.727,9544.49371
1102,1,1102,300100,3001,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,,LA CRESCENTA - MONTROSE,UNINCORPORATED AREA,1,West San Gabriel Valley Planning Area,6762583.121,11523.54253
1103,1,1103,300200,3002,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,,LA CRESCENTA - MONTROSE,UNINCORPORATED AREA,3,West San Gabriel Valley Planning Area,2865626.273,8208.996045
1104,1,1104,300301,3003.01,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,GLENDALE,,INCORPORATED CITY,1,San Fernando Valley Planning Area,9095430.25,15527.61614
1105,1,1105,300400,3004,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,GLENDALE,,INCORPORATED CITY,3,San Fernando Valley Planning Area,2945791.254,8802.266685
1106,1,1106,300501,3005.01,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,,LA CRESCENTA - MONTROSE,UNINCORPORATED AREA,3,West San Gabriel Valley Planning Area,1847789.078,7553.876038
1107,1,1107,300503,3005.03,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,,LA CRESCENTA - MONTROSE,UNINCORPORATED AREA,3,West San Gabriel Valley Planning Area,1588110.23,6713.196575
1108,1,1108,300601,3006.01,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,GLENDALE,,INCORPORATED CITY,3,San Fernando Valley Planning Area,1080485.344,6410.886801
1109,1,1109,300602,3006.02,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,GLENDALE,,INCORPORATED CITY,3,San Fernando Valley Planning Area,2237153.957,9350.383342
1110,1,1110,300701,3007.01,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,GLENDALE,,INCORPORATED CITY,3,San Fernando Valley Planning Area,19651506.29,23839.00726
