GEO_ID,Total,White,Black,NativeAmerican,Asian,HawaiianAPI,Other,Twoplus
6037117405,3364,485,167,71,80,3,2155,403
6037117407,3482,361,92,128,99,0,2382,420
6037117408,2843,437,158,49,235,4,1642,318
6037117510,4181,581,114,119,325,1,2529,512
6037117520,3961,547,182,85,230,3,2270,644
6037117530,5888,927,236,68,930,10,2845,872
6037119001,4024,645,30,110,662,2,1914,661
6037119003,3893,582,44,116,184,2,2238,727
6037119004,2830,441,30,68,284,2,1430,575
6037119201,3866,738,19,74,251,3,2066,715
6037119202,4394,683,64,67,278,9,2339,954
6037119310,3983,779,154,63,637,4,1790,556
6037119320,4793,743,172,72,849,11,2307,639
6037119340,3600,390,102,132,111,4,2372,489
6037119341,2867,439,108,42,761,3,1148,366
6037119342,3076,473,74,44,372,2,1644,467
6037119400,4881,809,61,129,353,4,2509,1016
6037119700,4893,1617,48,42,1049,9,1529,599
6037119801,2933,548,25,42,309,7,1491,511
6037119802,3016,541,29,34,402,1,1385,624
6037119900,4774,1033,88,88,1088,5,1825,647
6037120010,2892,503,73,88,307,15,1411,495
6037120020,4037,466,65,99,770,0,2074,563
6037120030,2591,434,36,98,104,4,1557,358
6037120103,3123,419,45,136,90,0,1926,507
6037120104,2327,359,182,54,423,2,1006,301
6037120105,2855,544,85,52,452,1,1315,406
6037120106,4377,556,111,82,690,2,2262,674
6037120107,3760,658,119,78,193,4,2209,499
6037120108,5263,781,242,110,577,4,2932,617
6037120300,5550,1459,117,89,1090,3,2029,763
6037120400,6614,1503,188,57,1454,9,2569,834
6037121010,4693,1744,67,75,469,6,1589,743
6037121020,3781,1468,102,56,377,7,1330,441
6037121101,2936,905,85,47,244,1,1197,457
6037121102,2846,1415,59,38,158,2,783,391
6037121210,3182,683,48,113,513,3,1386,436
6037121221,2147,404,36,67,142,2,1023,473
6037121222,5376,991,70,99,225,0,2994,997
6037121600,2996,1409,71,48,634,7,491,336
6037121801,3854,874,219,79,301,1,1700,680
6037121802,3192,1061,101,49,243,3,1220,515
6037121900,3921,912,77,95,286,1,1899,651
6037122000,5289,2773,88,67,777,6,1070,508
6037122120,4559,923,68,123,220,6,2237,982
6037122121,2629,581,52,47,225,5,1294,425
6037122122,2750,592,77,60,67,2,1605,347
6037122200,4064,1112,33,126,149,4,1946,694
6037122410,3824,832,249,76,245,3,1915,504
6037122420,4623,982,160,140,308,12,2310,711
6037123010,4253,846,91,88,101,6,2411,710
6037123020,3177,671,31,52,150,3,1792,478
6037123103,4285,1469,234,58,409,11,1345,759
6037123104,4309,1574,186,69,268,8,1485,719
6037123203,3508,843,182,86,134,2,1772,489
6037123204,3125,903,143,56,123,1,1480,419
6037123205,2503,633,80,39,88,15,1303,345
6037123206,2857,605,75,94,100,0,1388,595
6037123301,4424,1526,352,92,905,7,992,550
6037123303,3091,1155,83,40,230,3,1142,438
6037123304,4518,2151,151,42,195,5,1411,563
6037123410,3967,1622,110,57,228,4,1479,467
6037123420,4481,1898,111,48,311,8,1537,568
6037123510,4938,2256,217,62,322,2,1538,541
6037123520,2669,1260,82,43,153,16,751,364
6037123601,4985,2942,185,51,231,1,1017,558
6037123602,3433,1896,157,39,200,3,732,406
6037123700,4142,2625,126,45,312,0,613,421
6037123800,5757,3680,308,44,283,20,792,630
6037123901,4621,1890,280,83,313,9,1414,632
6037123902,2596,1371,174,31,262,10,359,389
6037124000,4786,3526,192,12,254,5,256,541
6037124102,3627,1497,206,62,244,6,1109,503
6037124103,1857,548,55,77,97,0,720,360
6037124104,2519,741,159,51,116,5,1054,393
6037124105,2425,899,87,51,133,1,849,405
6037124201,3391,1278,98,45,288,1,1038,643
6037124203,2450,818,66,105,94,0,1027,340
6037124204,2753,961,144,90,125,14,1052,367
6037124300,3830,1316,124,65,207,2,1472,644
6037124400,4308,2962,153,20,172,3,578,420
6037124500,2880,1851,148,20,213,2,350,296
6037124600,3223,2189,177,16,260,3,232,346
6037124700,5343,3788,338,32,333,6,327,519
6037124902,2893,1676,213,33,245,6,388,332
6037124903,3630,2205,277,31,254,6,400,457
6037125101,3979,2363,333,25,352,5,389,512
6037125102,2280,1569,121,12,144,2,113,319
6037125200,4014,2250,285,43,285,5,635,511
6037125310,4941,2159,577,105,340,10,977,773
6037125321,3049,1322,315,49,328,0,615,420
6037125322,2222,1168,333,17,173,10,253,268
6037125402,4076,2414,345,43,322,8,387,557
6037125403,2181,1164,239,20,173,4,298,283
6037125404,3133,1656,493,22,252,4,331,375
6037125501,3249,1939,246,38,234,7,389,396
6037125502,3572,2307,264,20,314,0,284,383
6037125600,2599,1921,102,18,145,7,142,264
6037127102,5450,1513,351,89,579,13,2069,836
6037127103,3203,1056,195,40,199,5,1297,411
6037127104,4140,1643,175,39,262,8,1520,493
6037127210,5453,1625,367,139,639,4,2049,630
6037127220,4993,1403,238,106,543,5,2152,546
6037127300,3735,1340,203,89,435,13,1163,492
6037127400,5529,1380,259,168,273,4,2568,877
6037127520,4226,679,262,104,328,10,2343,500
6037127603,2949,695,93,91,172,8,1356,534
6037127604,3194,1069,204,68,305,1,1111,436
6037127605,3314,734,158,95,147,6,1734,440
6037127606,3253,1073,178,84,278,5,1142,493
6037127711,3434,1214,156,50,213,2,1257,542
6037127712,3894,1258,274,76,264,16,1358,648
6037127803,5076,1547,311,71,405,7,2108,627
6037127804,4422,1468,361,57,482,3,1377,674
6037127805,3514,1074,209,48,234,6,1450,493
6037127806,3505,1140,204,81,273,5,1302,500
6037127910,5209,1383,164,86,316,3,2421,836
6037127920,4212,1680,125,50,245,9,1593,510
6037128101,3635,1784,91,40,178,18,1030,494
6037128102,4874,1345,269,141,278,9,2140,692
6037128210,4809,1082,303,133,196,4,2454,637
6037128220,3087,1549,151,53,151,12,803,368
6037128302,4654,1081,203,118,214,0,2229,809
6037128303,3876,723,122,108,203,0,2113,607
6037128400,4516,2413,257,51,371,3,728,693
6037128500,4294,2729,246,38,378,4,405,494
6037128601,4379,2002,243,44,215,2,1270,603
6037128602,3422,2267,145,21,231,4,342,412
6037128703,3317,2189,245,21,264,4,234,360
6037128704,2594,1738,120,16,201,2,205,312
6037128801,3805,2207,375,14,404,5,364,436
6037128802,4673,2770,312,36,491,2,454,608
6037128910,4384,2800,259,26,439,12,290,558
6037131021,2972,822,99,62,429,2,1146,412
6037131022,3491,793,207,78,470,1,1516,426
6037131023,2628,661,91,32,379,0,1044,421
6037131024,3422,964,128,75,371,1,1392,491
6037131100,3264,1533,106,35,336,5,722,527
6037131200,3549,1667,141,35,394,2,775,535
6037131300,4854,1288,162,78,688,8,1771,859
6037131400,6149,1957,348,84,1157,20,1685,898
6037131600,5366,1716,171,119,729,8,1804,819
6037131701,4794,1464,314,85,1028,4,1258,641
6037131702,3602,1157,200,81,466,0,1164,534
6037131801,3104,908,109,63,418,1,1167,438
6037131802,2552,897,81,70,326,0,841,337
6037131900,4382,1805,122,44,505,0,1218,688
6037132001,3335,1712,152,31,296,0,685,459
6037132002,3193,1570,77,50,270,7,737,482
6037132101,4330,1597,249,39,464,2,1382,597
6037132102,5618,2013,349,74,608,5,1716,853
6037132301,3577,1130,144,48,526,1,1247,481
6037132302,3005,926,78,59,222,8,1192,520
6037132501,4357,1703,177,94,490,2,1300,591
6037132502,4252,1756,152,54,558,0,1211,521
6037132700,5038,1787,164,120,378,2,1831,756
6037132900,3538,2198,110,27,290,1,410,502
6037133000,4424,1480,200,64,519,10,1378,773
6037133101,2091,1177,91,20,184,1,331,287
6037133102,3376,1614,173,52,351,3,830,353
6037134001,3708,569,93,140,411,0,2011,484
6037134002,3483,917,198,60,569,7,1135,597
6037134101,4991,1442,209,64,1302,5,1364,605
6037134103,4294,1494,155,68,834,15,1150,578
6037134104,4429,1034,270,95,1252,15,1250,513
6037134201,4271,1355,141,82,661,2,1319,711
6037134302,3746,1802,129,23,729,4,495,564
6037134303,5166,2263,174,78,891,11,853,896
6037134304,3001,1215,133,17,688,4,545,399
6037134305,3769,478,144,94,273,5,2137,638
6037134306,3553,928,231,59,629,3,1153,550
6037134421,3851,2675,90,7,498,0,106,475
6037134422,4959,2748,221,27,977,5,373,608
6037134423,3338,2097,99,22,517,3,212,388
6037134424,2862,1949,75,5,542,1,74,216
6037134520,5601,1212,197,195,503,4,2699,791
6037134521,2972,313,60,143,139,4,1926,387
6037134522,4015,823,156,98,371,2,1894,671
6037134710,5183,1063,202,128,567,10,2525,688
6037134720,5011,1354,287,91,981,11,1655,632
6037134801,3177,1103,150,61,577,4,752,530
6037134802,3196,1081,118,76,436,0,974,511
6037134901,3266,1879,138,50,294,5,493,407
6037134904,4368,1489,231,58,411,4,1453,722
6037134905,5219,2840,734,15,709,3,339,579
6037134906,3115,827,215,49,450,2,1147,425
6037134907,2953,1398,445,11,465,10,266,358
6037135102,3612,2123,162,17,470,10,321,509
6037135111,3118,1743,145,13,409,4,365,439
6037135113,3240,1625,333,12,609,0,259,402
6037135115,4698,1811,230,13,1970,8,212,454
6037135116,1718,965,163,16,248,1,115,210
6037135201,2592,1621,77,20,410,1,171,292
6037135202,4399,2683,110,24,716,6,277,583
6037135204,4791,3036,150,24,685,0,295,601
6037135205,2342,1666,41,0,351,0,49,235
6037137000,4754,3516,137,10,377,6,171,537
6037137103,4951,3005,324,31,707,2,308,574
6037137104,2725,2081,89,7,200,0,77,271
6037137202,3588,2094,245,16,554,13,242,424
6037137203,2416,1576,69,12,199,4,160,396
6037137301,2238,1651,57,12,180,1,85,252
6037137302,4341,3196,111,17,473,4,139,401
6037137401,4708,3293,195,30,385,4,208,593
6037137402,5663,4090,300,12,432,0,248,581
6037137501,4662,3130,382,15,393,3,272,467
6037137502,4441,3221,154,11,322,4,223,506
6037137504,1920,1544,51,1,108,0,36,180
6037138000,4575,3582,125,11,313,0,114,430
6037139001,5125,3304,262,35,383,9,458,674
6037139200,5519,3583,251,39,432,6,503,705
6037139301,4692,3391,166,16,384,0,279,456
6037139302,4734,2267,398,47,432,5,932,653
6037139303,4481,2496,299,27,332,6,767,554
6037139401,2894,1834,165,25,220,6,293,351
6037139402,2782,2323,53,0,136,2,55,213
6037139502,3118,2507,53,12,141,3,126,276
6037139504,3742,2666,206,15,228,3,205,419
6037139505,2565,1725,134,9,195,0,227,275
6037139506,2767,1932,131,7,216,3,197,281
6037139600,5185,3814,228,20,397,7,208,511
6037139701,5438,4219,143,13,413,3,179,468
6037139703,2693,2191,41,3,180,1,43,234
6037139704,2624,2072,54,11,186,1,31,269
6037139705,3643,2991,47,3,254,0,48,300
6037139801,3523,2957,77,2,161,5,36,285
6037139802,3858,3193,75,5,231,0,53,301
6037141101,4903,3389,285,29,341,5,300,554
6037141102,3023,2161,171,6,190,2,129,364
6037141201,4289,2847,292,23,316,7,298,506
6037141202,2922,2188,102,8,179,2,127,316
6037141303,3191,2116,204,11,284,8,213,355
6037141304,3015,2245,141,8,187,2,152,280
6037141305,2986,2023,190,12,219,7,192,343
6037141306,2974,2107,151,7,280,10,128,291
6037141400,4705,3450,167,10,393,3,224,458
6037141500,3089,2511,48,4,230,5,47,244
6037141600,4088,3291,58,2,304,2,55,376
6037141700,3096,2448,70,2,226,3,63,284
6037143101,2142,1568,90,7,121,2,93,261
6037143102,2294,1529,155,11,174,2,166,257
6037143200,4377,2713,298,32,390,5,364,575
6037143301,3236,1964,186,23,242,6,377,438
6037143302,3367,2404,125,11,297,3,128,399
6037143401,4632,3361,232,11,328,4,192,504
6037143402,1791,1285,58,10,143,4,76,215
6037143500,5197,3881,176,12,357,1,182,588
6037143602,4740,3488,209,14,373,4,197,455
6037143603,2482,1666,131,16,257,5,138,269
6037143605,1945,1089,180,8,276,6,116,270
6037143606,1581,954,123,7,217,0,98,182
6037143700,3800,2813,133,3,313,7,104,427
6037143801,2926,2191,100,13,238,4,83,297
6037143802,2298,1719,90,8,168,0,90,223
6037143901,4319,3374,105,5,304,0,135,396
6037143902,2979,2316,81,11,209,0,88,274
6037181000,6132,2820,96,73,1510,5,594,1034
6037181300,3613,1466,71,52,1010,5,409,600
6037181400,4134,1564,94,37,1195,3,621,620
6037181500,3653,1550,66,51,718,4,598,666
6037181600,4247,1955,131,39,877,15,611,619
6037183101,3659,1358,67,52,370,2,1026,784
6037183103,3839,992,105,90,424,4,1482,742
6037183104,2095,774,41,43,377,1,467,392
6037183220,3682,894,55,74,484,1,1620,554
6037183221,2901,1046,69,57,274,4,892,559
6037183222,3303,1249,70,55,597,7,712,613
6037183300,3083,895,14,50,546,0,1053,525
6037183401,2226,741,37,18,426,1,629,374
6037183402,2997,872,56,45,864,8,630,522
6037183510,2368,726,20,91,169,0,926,436
6037183520,3450,970,64,46,202,0,1582,586
